papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
TAEE11,34.86,6.49,1.73,4.252,0.1393,0.673,4.54,5.4,-1.65,8.51,8.41,0.7868999999999999,0.6548999999999999,0.13720000000000002,0.2661,3.71,114625000.0,6950930000.0,1.22,0.2298
TAEE3,11.73,6.55,1.74,4.293,0.138,0.679,4.58,5.45,-1.67,8.56,8.47,0.7868999999999999,0.6548999999999999,0.13720000000000002,0.2661,3.71,2690340.0,6950930000.0,1.22,0.2298
TAEE4,11.64,6.5,1.73,4.26,0.139,0.674,4.55,5.41,-1.65,8.52,8.42,0.7868999999999999,0.6548999999999999,0.13720000000000002,0.2661,3.71,4710310.0,6950930000.0,1.22,0.2298
TAMM3,52.6,-22.68,3.79,0.625,0.0,0.523,-31.04,9.74,-0.96,17.98,9.65,0.0641,-0.022099999999999998,0.0636,-0.16699999999999998,0.95,0.0,2174310000.0,4.08,0.09789999999999999
TAMM4,52.73,-22.74,3.8,0.626,0.0,0.524,-31.11,9.77,-0.96,18.01,9.66,0.0641,-0.022099999999999998,0.0636,-0.16699999999999998,0.95,0.0,2174310000.0,4.08,0.09789999999999999
TANC4,43.0,-18.54,3.1,0.511,0.0,0.428,-25.37,7.96,-0.78,16.2,8.69,0.0641,-0.022099999999999998,0.0636,-0.16699999999999998,0.95,0.0,2174310000.0,4.08,0.09789999999999999
TARP11,18.02,0.82,0.25,26.009,0.0,0.245,0.0,197.74,0.0,195.29,195.29,0.1315,31.7005,0.0,0.2989,0.0,0.0,678212000.0,0.0,-0.7136
TASA3,12.83,2.68,1.5,0.588,0.1188,0.694,2.92,1.92,5.18,2.21,2.13,0.3059,0.2193,0.4559,0.5590999999999999,1.55,622349.0,1083620000.0,0.54,0.4093
TASA4,13.16,2.75,1.54,0.603,0.1158,0.712,3.0,1.97,5.31,2.26,2.18,0.3059,0.2193,0.4559,0.5590999999999999,1.55,12496000.0,1083620000.0,0.54,0.4093
TBLE5,12.0,5.29,1.22,0.846,0.0,0.247,5.07,1.71,-0.44,4.31,3.62,0.4946,0.16,0.16190000000000002,0.23,1.26,0.0,8044930000.0,2.32,0.1027
